subject,question_no,file,official_answer,priority,line_count,char_count,flags
공법,1,q001_공법.md,3,normal,305,18886,
공법,2,q002_공법.md,37,normal,194,12262,
공법,3,q003_공법.md,1,normal,292,18708,
공법,4,q004_공법.md,4,normal,332,16850,
공법,5,q005_공법.md,2,normal,252,17561,
공법,6,q006_공법.md,5,manual,271,16181,
공법,7,q007_공법.md,4,manual,295,14335,
공법,8,q008_공법.md,1,normal,293,17396,
공법,9,q009_공법.md,4,normal,257,17075,
공법,10,q010_공법.md,5,normal,364,16394,
공법,11,q011_공법.md,5,manual,305,15032,
공법,12,q012_공법.md,2,normal,239,15841,
공법,13,q013_공법.md,3,normal,211,16222,
공법,14,q014_공법.md,3,normal,76,2557,
공법,15,q015_공법.md,1,normal,185,10893,
공법,16,q016_공법.md,3,normal,194,12821,
공법,17,q017_공법.md,2,normal,303,16394,
공법,18,q018_공법.md,1,normal,378,15660,
공법,19,q019_공법.md,3,manual,306,20079,
공법,20,q020_공법.md,1,normal,331,16876,
공법,21,q021_공법.md,1,normal,249,12291,
공법,22,q022_공법.md,3,normal,333,18559,
공법,23,q023_공법.md,5,normal,276,14938,
공법,24,q024_공법.md,3,normal,291,14196,
공법,25,q025_공법.md,5,normal,287,15417,
공법,26,q026_공법.md,5,normal,329,14333,
공법,27,q027_공법.md,2,normal,256,15505,
공법,28,q028_공법.md,1,normal,257,14587,
공법,29,q029_공법.md,4,normal,283,14856,
공법,30,q030_공법.md,4,normal,229,15041,
공법,31,q031_공법.md,1,normal,321,18234,
공법,32,q032_공법.md,4,normal,327,16885,
공법,33,q033_공법.md,3,normal,250,14372,
공법,34,q034_공법.md,2,normal,280,17181,
공법,35,q035_공법.md,4,normal,204,12970,
공법,36,q036_공법.md,2,normal,257,16033,
공법,37,q037_공법.md,1,normal,280,16111,
공법,38,q038_공법.md,5,normal,313,17459,
공법,39,q039_공법.md,3,normal,413,21030,
공법,40,q040_공법.md,4,normal,330,17855,
민사법,1,q001_민사법.md,7,normal,189,10946,
민사법,2,q002_민사법.md,4,normal,226,11207,
민사법,3,q003_민사법.md,1,normal,148,6776,
민사법,4,q004_민사법.md,29,normal,167,3933,
민사법,5,q005_민사법.md,39,normal,273,11468,
민사법,6,q006_민사법.md,1,normal,189,11433,
민사법,7,q007_민사법.md,3,normal,275,12887,
민사법,8,q008_민사법.md,5,normal,397,17466,
민사법,9,q009_민사법.md,3,manual,246,15861,
민사법,10,q010_민사법.md,2,normal,298,10673,
민사법,11,q011_민사법.md,4,normal,324,15147,
민사법,12,q012_민사법.md,4,normal,243,10424,
민사법,13,q013_민사법.md,2,normal,277,12455,
민사법,14,q014_민사법.md,1,normal,229,9951,
민사법,15,q015_민사법.md,4,normal,330,16207,
민사법,16,q016_민사법.md,3,normal,325,15276,
민사법,17,q017_민사법.md,1,manual,397,20374,
민사법,18,q018_민사법.md,2,normal,182,10796,
민사법,19,q019_민사법.md,4,manual,336,17353,
민사법,20,q020_민사법.md,1,manual,265,11836,
민사법,21,q021_민사법.md,5,normal,242,14076,
민사법,22,q022_민사법.md,2,normal,300,17317,
민사법,23,q023_민사법.md,2,normal,351,17156,
민사법,24,q024_민사법.md,4,normal,304,15700,
민사법,25,q025_민사법.md,1,normal,301,16788,
민사법,26,q026_민사법.md,2,normal,321,15396,
민사법,27,q027_민사법.md,3,normal,260,14244,
민사법,28,q028_민사법.md,5,normal,129,2237,
민사법,29,q029_민사법.md,5,normal,273,14592,
민사법,30,q030_민사법.md,2,normal,234,9199,
민사법,31,q031_민사법.md,2,normal,426,19264,
민사법,32,q032_민사법.md,1,normal,146,2978,
민사법,33,q033_민사법.md,3,normal,208,12975,
민사법,34,q034_민사법.md,4,normal,251,13256,
민사법,35,q035_민사법.md,4,normal,229,10418,
민사법,36,q036_민사법.md,2,normal,224,11988,
민사법,37,q037_민사법.md,2,normal,268,12572,
민사법,38,q038_민사법.md,4,normal,289,15653,
민사법,39,q039_민사법.md,3,normal,214,13196,
민사법,40,q040_민사법.md,1,normal,299,14682,
민사법,41,q041_민사법.md,5,normal,247,14655,
민사법,42,q042_민사법.md,5,normal,205,10997,
민사법,43,q043_민사법.md,4,normal,274,12486,
민사법,44,q044_민사법.md,4,normal,277,15135,
민사법,45,q045_민사법.md,2,normal,304,16147,
민사법,46,q046_민사법.md,2,normal,266,11731,
민사법,47,q047_민사법.md,5,normal,318,16611,
민사법,48,q048_민사법.md,3,normal,209,13414,
민사법,49,q049_민사법.md,1,normal,216,13795,
민사법,50,q050_민사법.md,1,normal,263,16753,
민사법,51,q051_민사법.md,3,normal,328,17088,
민사법,52,q052_민사법.md,5,normal,361,16759,
민사법,53,q053_민사법.md,4,normal,313,17621,
민사법,54,q054_민사법.md,3,normal,270,14368,
민사법,55,q055_민사법.md,5,normal,128,3983,
민사법,56,q056_민사법.md,3,normal,277,12661,
민사법,57,q057_민사법.md,4,normal,192,4058,
민사법,58,q058_민사법.md,2,normal,325,13789,
민사법,59,q059_민사법.md,2,normal,274,14847,
민사법,60,q060_민사법.md,1,normal,247,12051,
민사법,61,q061_민사법.md,1,normal,162,4170,
민사법,62,q062_민사법.md,5,normal,184,4888,
민사법,63,q063_민사법.md,5,normal,180,3364,
민사법,64,q064_민사법.md,2,normal,252,7242,
